user_index,item_index,rating
1415,1435,5
726,992,1
1569,5,2
58,1719,4
1787,874,4
1539,919,4
503,386,2
1566,481,4
749,8713,1
1139,557,4
201,1169,3
724,468,1
425,6793,1
297,249,5
1500,2159,4
917,277,1
643,122,5
18,744,2
1282,156,3
1755,179,1
83,2328,1
534,251,2
195,4040,4
962,2720,4
594,678,4
295,464,2
1063,2468,3
1736,6850,5
864,4545,4
557,291,4
247,315,4
485,473,2
384,441,1
895,10937,2
1334,414,5
782,10123,3
674,251,5
488,787,5
1697,16,5
1403,2727,2
1145,3018,4
1775,553,2
834,982,2
1717,234,2
1803,2316,4
473,7222,1
620,901,4
1873,1413,3
1556,299,1
1172,3017,1
719,2278,1
1886,17563,5
242,4643,2
1416,238,5
1648,147,2
951,2717,1
44,179,5
217,855,1
181,1257,1
763,315,5
451,1196,1
256,4794,4
282,5172,3
1517,139,4
885,16,5
1661,5404,3
909,11059,1
1260,13552,4
1083,2202,2
1317,2547,4
637,788,5
232,4499,4
21,835,5
490,1146,5
1221,454,2
1235,251,4
1781,1773,5
1513,446,5
1343,659,1
516,7629,1
1787,7503,4
33,1042,4
1106,187,1
167,683,4
1054,1756,5
1832,1593,5
182,3814,5
1662,8966,3
354,1673,5
144,278,1
3,179,2
1054,5782,4
347,122,4
1130,9981,4
1834,811,1
588,1650,2
422,811,2
1515,15125,5
1016,1134,5
1588,405,2
301,987,5
138,277,1
1131,1663,2
1730,14618,1
78,2220,2
540,7909,3
777,1700,2
109,1767,2
1052,12089,2
1039,2327,3
666,9128,2
682,5855,1
437,1342,5
728,383,5
1764,176,1
1276,13645,4
1716,240,4
1529,15202,4
871,3986,2
384,477,1
549,166,5
587,5159,1
694,179,1
1792,2627,1
786,814,4
1140,274,4
345,3014,2
1553,278,2
1829,17289,2
1532,15227,2
1305,1154,5
299,5381,3
809,241,5
713,1594,3
1533,425,5
1419,1041,3
569,1681,1
1498,512,2
188,147,2
1292,13732,2
977,10303,2
1547,1334,3
1017,171,3
1660,1480,3
1812,2714,1
1614,16,3
946,4168,1
314,111,5
765,161,1
66,1836,3
1508,7462,4
1846,4940,3
1451,273,1
1594,1357,2
731,486,1
1153,4050,3
204,1013,1
585,1049,3
48,753,5
1230,328,4
1221,1096,2
1464,7076,5
1661,2280,2
692,4857,2
1114,424,4
976,38,4
1208,144,3
1728,16606,1
1516,13185,3
819,214,1
1409,8037,1
1406,2599,5
904,1096,5
1851,416,5
85,1633,5
318,375,3
542,3597,4
1399,4764,1
459,1310,4
536,2922,4
1103,139,5
486,3338,4
1607,655,5
1194,9627,1
1605,15712,3
87,2416,5
1706,2130,2
518,7689,2
1024,3198,1
1122,9340,3
204,3176,2
924,122,2
1862,1096,2
343,90,1
1467,858,2
78,1057,2
1534,2797,3
71,431,3
1793,17041,1
62,438,5
1871,4794,4
1343,14,2
978,492,3
591,3383,1
1507,1817,2
110,668,1
1413,1334,4
246,4718,3
934,389,3
1774,16909,5
642,244,3
650,677,5
1339,1132,5
235,448,3
1839,293,5
105,2731,5
1008,259,4
699,9409,3
1784,3890,2
1027,1195,4
139,624,4
1530,1909,1
770,30,3
1122,106,4
35,5,1
1727,678,5
676,2554,2
943,10449,3
1774,4262,5
1423,14544,4
1265,13576,5
529,565,5
851,10175,3
411,6597,4
736,1139,5
1092,808,3
299,146,4
92,1821,3
1786,1049,4
1046,405,5
855,1108,1
42,110,4
626,241,2
1458,14693,3
1629,15852,4
1786,482,1
3,158,3
1078,8593,3
1839,1334,3
1821,3314,4
1343,2070,1
1205,13202,4
1567,15500,3
1026,8300,1
870,10749,2
1639,662,3
1450,478,4
584,656,4
29,183,3
1869,4,3
863,553,5
101,2634,5
1858,1950,1
391,6379,3
1606,4373,1
95,799,3
603,5729,4
1040,9260,4
456,2790,2
1169,12992,1
885,9919,1
773,1935,2
1521,448,5
336,1367,1
1105,5516,4
729,6462,3
1597,473,1
192,3978,4
842,1041,5
1041,11963,5
487,3432,3
355,1073,2
618,6271,4
610,5,3
45,1439,1
1768,475,3
623,38,3
947,243,5
512,7585,1
95,2459,1
284,4794,1
728,9609,4
0,34,5
1178,2316,4
1310,273,3
450,1570,4
1066,7266,2
1268,816,1
1626,15828,4
576,328,5
1644,416,4
